incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001472262,IBERIA,IBERIA,05/01/2021 12:25,05/01/2021 12:25,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),FLOTA A340 (AVVIL0A0)
INC000001472263,IBERIA,IBERIA,05/01/2021 12:24,05/01/2021 12:24,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (RIO DE JANEIRO),GERENCIA BRASIL (RIO D EJ (ACW3B0R0)
INC000001472266,IBERIA,IBERIA,05/01/2021 12:42,05/01/2021 12:42,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,MANAGER GRUPOS (ACRM01)
INC000001472267,IBERIA,IBERIA,05/01/2021 12:47,05/01/2021 12:47,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),FLOTA A320 Pilotos (AVVIC0A1)
INC000001472268,IBERIA,IBERIA,05/01/2021 12:44,05/01/2021 12:44,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LR SOBRE (ABLY0001)
INC000001472269,IBERIA,IBERIA,05/01/2021 12:54,05/01/2021 12:54,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (SAO PAULO),PROCESOS FINANCIEROS BRAS (3KEF00BS)
INC000001472270,IBERIA,IBERIA,05/01/2021 13:21,05/01/2021 13:21,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TFS AEROPUERTO,PASAJEROS TENERIFE SUR (AHALUSPA)
INC000001472277,IBERIA,IBERIA,05/01/2021 13:24,05/01/2021 13:24,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),FLOTA A320 Pilotos (AVVIC0A1)
INC000001472278,IBERIA EXPRESS,IBERIA EXPRESS,05/01/2021 13:35,,In Progress,MFA Multifactor authentication - Ping ID:,WNS Team,UNKNOW,UNKNOW,Baja,4-Baja,,Unidad Seguridad Informática,INCIDENT,08/01/2021,SOFTWARE FAILURE,,27,SIN IDENTIFICAR,
INC000001472279,IBERIA,IBERIA,05/01/2021 13:36,12/01/2021 12:25,Closed,[TRYP]: Imposibilidad de realizar algunos cambios de turno por TRYP,AIRPORT2_GEO001_EXT,Application Tower,Aeropuertos,Baja,4-Baja,La razon de porque no le sale su compañero como candidatos es porque sus turnos no son compatibles con los que tiene el compañero.,Mantenimiento Aeropuertos,INCIDENT,16/01/2021,SOFTWARE FAILURE,,7,SIN IDENTIFICAR (MADRID BARAJAS),T.C.MAD- OPER. (AGDM00MB)
INC000001472280,IBERIA,IBERIA,05/01/2021 13:34,05/01/2021 13:34,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA CM RADIO (ABRW00)
INC000001472281,IBERIA,IBERIA,05/01/2021 14:34,05/01/2021 14:34,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,MNG. INSTRUCCIÓN TIERRA (AVIFE0)
INC000001472282,IBERIA,IBERIA,05/01/2021 13:37,05/01/2021 13:37,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,HANGAR 5,TMA MECANICA. PROD CAD2 H (AMIRD4GC)
INC000001472283,IBERIA,IBERIA,05/01/2021 13:45,05/01/2021 13:45,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,MNG. GEST. NÓMINAS (3YRN00)
INC000001472285,IBERIA,IBERIA,05/01/2021 13:46,,Assigned,[NDCSUPPORT]OrderRetrieve termina con excepción,NDC - DESARROLLO ELS - GARANTIA,Delivery,Ib.com,Baja,4-Baja,https://transform.atlassian.net/browse/NDC-15458,MANTENIMIENTO IB.COM,INCIDENT,07/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,27,SIN IDENTIFICAR,
INC000001472288,IBERIA,IBERIA,05/01/2021 13:52,05/01/2021 13:56,Closed,KO in OBHCIP OBHCIP: KO proceso FISION FICHERO IB_CARD_ASSIGMENT,Aplicaciones BI,Application Tower,BI,Baja,4-Baja,"Issue: KO in OBHCIP OBHCIP: KO proceso FISION FICHERO IB_CARD_ASSIGMENT Analysis: Analyzed the issue and found that we have not received the files in the below location that's why load plan got failed. files directory: /obhcip/input/comarch Business Impact: Delay in file execution will impact Iberia cards since it holds Reversal points data, consumed by partners of the loyalty program and hence the users will not be able to see the updated Reversal points against their Iberia Cards. Resolution: Re ran the ODI Load plan for Partial Reversal file to successfully process the file. PKG_FISION_FICHEROS_IB_CARD_ASSIGMENT_trn_out CAN THIS ISSUE BE PREVENTED?: No. The File was delayed from the source Team and therefore, no issue with the application. PROBLEM TICKET REQUIRED?: No. As the files are received from the source Team. There was delay in sending the files due to which the load Plan failed.",Mantenimiento BI,INCIDENT,09/01/2021,PROCESS FAILURE,BATCH,0,SIN IDENTIFICAR,
INC000001472290,IBERIA,IBERIA,05/01/2021 14:16,05/01/2021 14:16,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MNG CONTROL & CUST. SUP. (AMICB0CP)
INC000001472291,IBERIA,IBERIA,05/01/2021 14:28,05/01/2021 14:28,Closed,Solicita desbloqueo usuario LDAP.,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se comprueba acceso tras desbloqueo.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD UNLOCK,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),D. COMERCIAL (AM5000)
INC000001472293,IBERIA,IBERIA,05/01/2021 14:45,08/01/2021 12:30,Closed,Fallo Software: BLOQUEO DE EQUIPO,IAG EUC Support,EUC,EUC,Media,3-Medio,"despues de limpiar credenciales antiguas, usuaria nos confirma que funciona",Unidad de Instalaciones y Telecomunicaciones,INCIDENT,12/01/2021,SOFTWARE FAILURE,,3,NEO-MARTINEZ VILLERGAS 49,MNG PRECIOS Y DEMANDA EUR (ACRI02)
INC000001472294,IBERIA,IBERIA,05/01/2021 14:35,05/01/2021 16:48,Closed,N Error at NAS: Folder not shown,IAG EUC Remote Support,EUC,EUC,Baja,4-Baja,Resolution:Checke with user.User doesn't have any issue in NAS. Hence closing the ticket.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,09/01/2021,ACCESS FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,MNG. GEST. NÓMINAS (3YRN00)
INC000001472296,IBERIA,IBERIA,05/01/2021 16:52,05/01/2021 18:49,Closed,Solicita reset de usuario de RESIBER,CSUSAS,Server Tower,Server Tower,Media,2-Alta,TSC / EMAIL,Unidad de Operaciones Ordenadores,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001472297,IBERIA,IBERIA,05/01/2021 14:50,05/01/2021 16:16,Closed,Problema Pantalla Sala VIP,SSI,Service Ops Tower,Service Ops Tower,Alta,1-Critica,,Unidad Control del Servicio,INCIDENT,09/01/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (MADRID BARAJAS),PREMIUM HUB MAD BJS (BCLTP0BJ)
INC000001472299,IBERIA,IBERIA,05/01/2021 14:45,05/01/2021 16:46,Closed,Problemas de conectividad:,IAG EUC Support,EUC,EUC,Media,3-Medio,(EUC) Se habla con la usuaria y nos indica que ya está funcionando correctamente.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,09/01/2021,COMMUNICATIONS FAILURE,,0,NEO-MARTINEZ VILLERGAS 49,DESPACHO VUELOS_PLANES VU (AVCC00PV)
INC000001472303,IBERIA,IBERIA,05/01/2021 15:05,15/01/2021 08:35,Closed,"INUX_ibm - El job: D10ONOD con OrderID: 5ccrc del DataCenter: CTM_SERVER en la maquina: zlc, Aplicac",USCIBMAM,Application Tower,Cobol Domain,Baja,4-Baja,Issue: Fallo D10ONOD Impact: Bajo Root Cause: Tabla interna desbordada Steps Taken: Se aumenta el tamaño de la misma y se relanza el proceso terminando ok,Mantenimiento COBOL,INCIDENT,19/01/2021,PROCESS FAILURE,,10,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001472307,IBERIA,IBERIA,05/01/2021 15:07,05/01/2021 15:07,Closed,Información petición,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.,Unidad Control del Servicio,INCIDENT,09/01/2021,PERFORMANCE ISSUE,,0,NEO-MARTINEZ VILLERGAS 49,FBP AEROLINEA-COMERCIAL R (1FIC00)
INC000001472308,IBERIA,IBERIA,05/01/2021 15:55,05/01/2021 16:13,Closed,Solicita reset de usuario de RESIBER,CSUSAS,Server Tower,Server Tower,Baja,4-Baja,TSC / EMAIL,Unidad de Operaciones Ordenadores,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,IBZ AEROPUERTO,TRAFICO IBIZA (AHAKISAP)
INC000001472311,IBERIA,IBERIA,05/01/2021 15:46,05/01/2021 18:03,Closed,Problemas de conectividad:,IAG EUC Support,EUC,EUC,Media,3-Medio,se comprueba que funciona correo e intranet. De todas maneras pasara por la oficina para comprobar que las carpetas de NAS funcionen,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,09/01/2021,COMMUNICATIONS FAILURE,,0,TALLER MOTORES,MNG VENTAS Y SOPORTE CLIE (AMRV00)
INC000001472318,IAG CARGO,IBERIA,05/01/2021 16:13,06/01/2021 11:34,Closed,"alert iagcargo2 in Component:threadpool,State:HEALTH_WARN,MBean:ThreadPoolRuntime,ReasonCode:[Thread",CARGO-PORTAL,Application Tower,CARGO,Media,3-Medio,"[Issue]:alert iagcargo2 in Component:threadpool,State:HEALTH_WARN,MBean:ThreadPoolRuntime,ReasonCode:[Thread [Impact]:Custom security will not be declared [Analysis]:We have checked the application logs and the max-streaming session has reached to 10. The weblogic server restarted automatically. [Step Taken to Resolve]: N/A [Problem Ticket Required? (Yes, No).]:No [Can this incident be prevented? (Yes, No)]:No",Mantenimiento Cargo,INCIDENT,10/01/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001472321,IBERIA,IBERIA,05/01/2021 16:23,05/01/2021 16:23,Closed,Información petición,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.,Unidad Control del Servicio,INCIDENT,09/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001472323,IBERIA,IBERIA,05/01/2021 16:28,05/01/2021 16:38,Closed,3.2 AMADEUS SIGN IN RESET,CSUSAS,Server Tower,Server Tower,Baja,4-Baja,TSC / EMAIL,Unidad de Operaciones Ordenadores,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MANAGER CLIENTES ALTO VAL (ALCO00)
INC000001472324,IBERIA,IBERIA,05/01/2021 16:33,05/01/2021 16:33,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (MADRID BARAJAS),PROD.T123_UAR_SUPER.S. (AHMTR03S)
INC000001472325,IBERIA,IBERIA,05/01/2021 17:02,11/01/2021 10:18,Closed,Problemas de conectividad:Falta acceso a red y programa SAP,IAG EUC Support,EUC,EUC,Media,3-Medio,"(EUC) Se habla con la usuaria, nos indica que está operativa pero que reabrirá la INC cuando esté localmente para revisar 1 problema.",Unidad de Instalaciones y Telecomunicaciones,INCIDENT,15/01/2021,COMMUNICATIONS FAILURE,,6,NEO-MARTINEZ VILLERGAS 49,MNG. GEST. NÓMINAS (3YRN00)
INC000001472328,IBERIA,IBERIA,05/01/2021 17:43,05/01/2021 17:43,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,HANGAR 5,TMA MECANICA. PROD CAD3 H (AMIRD0AA)
INC000001472329,IBERIA,IBERIA,05/01/2021 16:54,05/01/2021 16:54,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,"Se le reinicia al usuario la contraseña siguiendo el proceso de seguridad, mediante retrollamada.",Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,D. MARCA Y MARKETING (ACFM00)
INC000001472332,IBERIA,IBERIA,05/01/2021 17:19,05/01/2021 17:19,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),FLOTA A340 (AVVIL0A0)
INC000001472333,IBERIA,IBERIA,05/01/2021 17:21,12/01/2021 15:18,Closed,fichero de ibplus IBP_OPERATIONSM_20201101_000000.txt no recibido para el mes de noviembre,Aplicaciones BI,Application Tower,BI,Media,3-Medio,"ISSUE: AIP has reported that they have not received IBPLUS Monthly file for November. impact : If AIP will not receive this data ,they will not be able to generate the reports at their end required for business. Analysis : We have checked the path on exchange node where these files are sent by source at user ftpicc003ibplliveon exchange node and file was not available and we also checked the s3 bucket to make sure if the files were archived. Steps Taken to Resolve: 1.We have checked the path on exchange node where these files are sent by source at user ftpicc003ibpllive on exchange node and the files was not available. We followed-up with ATOS team for the reason for missing file. 2. ATOS confirmed that they have transferred the file correctly. 3.We again checked at the destination location for the IBPLUS files. And the files was present at the location /ibftplinint/live/ftpicc003loyalive/ . 4. we contacted AIP team to check and verify if the files are available. AIP confirmed that the files are received . Problem Ticket Required? (Yes, No).: No , as the issue is related to source and target data. Can this incident be prevented? (Yes, No): No , as the issue is related to source and target data.",Mantenimiento BI,INCIDENT,16/01/2021,DATA ISSUE,FILE TRANSFER - UNISYS,7,SIN IDENTIFICAR,
INC000001472336,IBERIA,IBERIA,05/01/2021 17:23,06/01/2021 11:59,Closed,Fallo Software: AUTOFIRMA NO DESCARGADA,IAG EUC Remote Support,EUC,EUC,Media,2-Alta,Resolution:Took remote checked the application. Tried with different browser now the application working fine. Hence closing the ticket with user confirmation.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,10/01/2021,SOFTWARE FAILURE,,1,TERMINAL T4,PERSONAL_GEST. PERSONAL (AHMP00PA)
INC000001472338,IBERIA,IBERIA,05/01/2021 17:24,05/01/2021 17:23,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (BARCELONA),RAMPA BARCELONA (AHABU0RA)
INC000001472339,IBERIA,IBERIA,05/01/2021 17:43,06/01/2021 14:16,Closed,[IMP001] ERROR MASIVO EN CARGA DE PRECIOS ARCHIVO DESCARGABLE ATA SPEC2000 DICIEMBRE,USV_DGMI,Application Tower,Mantenimiento Dir. Técnica – MRO,Media,3-Medio,Correct file has been received from ATA supplier and it is approved by IB business user to execute it in IP1 system.,Mantenimiento Dir. Técnica,INCIDENT,10/01/2021,SOFTWARE FAILURE,,1,TALLER MOTORES,MNG EJECUCIÓN CONTRATO Y (AMRF04)
INC000001472340,IBERIA,IBERIA,05/01/2021 18:00,07/01/2021 14:25,,Usuario bloqueado por inactividad en IBECON,AIRPORT1,Application Tower,Aeropuertos,Media,3-Medio,,Mantenimiento Aeropuertos,INCIDENT,07/01/2021,ACCESS FAILURE,,2,REU AEROPUERTO,MNG AEROPUERTOS REUS-GERO (AHABR0)
INC000001472341,IBERIA,IBERIA,05/01/2021 17:25,07/01/2021 10:41,Closed,Y Instalar en remoto la aplicación citrix.,IAG EUC Remote Support,EUC,EUC,Media,3-Medio,Resolution:Took remote installed the application citrix.Now SAS working fine.Hence closing the ticket with user confirmation.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,11/01/2021,DEFAULT,DEFAULT,2,HANGAR 6,TMA MECANICA. PROD CAD5 H (AMIRD0HA)
INC000001472345,IBERIA,IBERIA,05/01/2021 18:26,05/01/2021 18:26,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR,
INC000001472346,OTHERS,IAG,05/01/2021 17:45,07/01/2021 12:06,Closed,** ERROR **Envio Tarifa H AENA (CEN/210105)**,AIRPORT1,Application Tower,Aeropuertos,Baja,4-Baja,FTP connectivity issue,Mantenimiento Aeropuertos,INCIDENT,11/01/2021,SOFTWARE FAILURE,,2,SIN IDENTIFICAR,
INC000001472351,IBERIA,IBERIA,05/01/2021 13:10,05/01/2021 13:10,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),FLOTA A320 Pilotos (AVVIC0A1)
INC000001472354,IBERIA,IBERIA,05/01/2021 15:08,19/01/2021 15:35,Closed,Error at NAS:,GSAN,Server Tower,Server Tower,Media,3-Medio,We are following up on the problem ticket PBI000000084956 for the NAS accessibility issue. Also uploaded latest diagnostic logs and awaiting vendor analysis to identify the cause. We will further update the findings in the problem ticket. Hence proceeding with this incident closure.,Unidad de Operaciones Ordenadores,INCIDENT,23/01/2021,ACCESS FAILURE,,14,TALLER MOTORES,MNG FACTURACIÓN (AMRF0D)
INC000001472355,IBERIA,IBERIA,05/01/2021 13:26,05/01/2021 13:37,Closed,Solicita desbloqueo de usuario SAP.,SSCCLMZ,Service Ops Tower,Service Ops Tower,Baja,4-Baja,[L2] Se contacta con el usuario y se le proporciona la contraseña de desbloqueo de cuenta del SAP,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TALLER MOTORES,MONTAJE (AMITM0EA)
INC000001472357,IBERIA,IBERIA,05/01/2021 13:20,,Pending,"DAT002: al grabar ancillary con BEMD, la impresora se queda pillada.",AIRPORT2_ELS,Delivery,Delivery,Baja,4-Baja,,Mantenimiento Aeropuertos,INCIDENT,26/01/2021,SOFTWARE FAILURE,,27,SIN IDENTIFICAR,
INC000001472358,IBERIA,IBERIA,05/01/2021 13:27,05/01/2021 13:27,Closed,Información petición,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se guia y/o informa al usuario de la información necesaria para abrir su petición correctamente durante la llamada realizada.,Unidad Control del Servicio,INCIDENT,09/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MAINTROL (AMNLR00C)
INC000001472359,IBERIA,IBERIA,05/01/2021 13:48,05/01/2021 13:48,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (MADRID BARAJAS),T.C.MAD- OPER. (AGDM00MB)
INC000001472360,IBERIA,IBERIA,05/01/2021 13:27,05/01/2021 13:27,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA CM RADIO (ABRW00)
INC000001472361,IBERIA,IBERIA,05/01/2021 13:21,05/01/2021 17:11,Closed,SCOM - Windows on e102ac03-a927aaf7-8ce7-47c3-98c5-e170390b04fe_The disk E: on computer E102AC03.ibe,WINDOWS ES,Server Tower,Server Tower,Media,3-Medio,Alert got cleared,Unidad de Operaciones Ordenadores,INCIDENT,09/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001472363,IBERIA,IBERIA,05/01/2021 13:31,05/01/2021 13:57,Closed,Y - EVOKO Room Manager: PIN Incorrecto,IAG EUC Remote Support,EUC,EUC,Alta,2-Alta,Resolution : New EVOKO pin created and sent to user. It's working fine. Hence with user's confirmation we are closing the ticket.,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,09/01/2021,DEFAULT,DEFAULT,0,NEO-MARTINEZ VILLERGAS 49,D. VTS LATAM Y ACUER. INS (ACWX00)
INC000001472367,IBERIA,IBERIA,05/01/2021 13:29,05/01/2021 16:48,Closed,LINUX_sun - apliwebl2.ib : Perdida de conexion con servidor de WebLogic RRHH_jdk1.7_2^RRHH_jdk1.7_2^,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,app team confirmed application working fine after weblogic instance restart,Unidad de Operaciones Ordenadores,INCIDENT,09/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001472372,IBERIA,IBERIA,05/01/2021 14:04,18/01/2021 16:24,Closed,ELM [ADM001]: programar curso avsec,PeopleSoft Apps Support,Application Tower,RRHH,Baja,4-Baja,correct details are coming,Mantenimiento Corporativa y RRHH,INCIDENT,22/01/2021,SOFTWARE FAILURE,,13,EDIF.101 - HANGAR 3,OFICINA ADMINISTRATIVA AZ (AMNLL0A0)
INC000001472373,IBERIA,IBERIA,05/01/2021 13:57,06/01/2021 08:11,Closed,[PORTAL EMPLEADO] Opciones inhabilitadas,JAVA Apps Support,Application Tower,RRHH,Baja,4-Baja,Temporary Issue 06/01: Sent mail to the user that issue is temporary as we are able to access all the options now.,Mantenimiento Corporativa y RRHH,INCIDENT,10/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR (MADRID BARAJAS),T.C. MAD-OPER.-APOYO (AGDM00MH)
INC000001472374,IAG CARGO,IBERIA,05/01/2021 13:43,05/01/2021 15:52,Closed,[CARGO-PORTAL]We cannot generate the NRM of expedition 075-80661453,CARGO-PORTAL,Application Tower,CARGO,Alta,2-Alta,,Mantenimiento Cargo,INCIDENT,09/01/2021,DATA ISSUE,,0,SIN IDENTIFICAR (MADRID BARAJAS),T.C.MAD- DOCUM. (AGDM00MA)
INC000001472375,IBERIA,IBERIA,05/01/2021 14:33,06/01/2021 10:23,Closed,[GLE001]SAP CFS - OTC module:,FINANCE-SUPPORT,Application Tower,FINANCE,Baja,4-Baja,,Mantenimiento Financiero,INCIDENT,10/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR (MADRID BARAJAS),MNG OPERACIÓN HUB ESPAÑA (AGDH11)
INC000001472378,IAG CARGO,IAG CARGO,05/01/2021 14:12,05/01/2021 14:12,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,EDIF.112 - TALLERES GENERALES/,
INC000001472379,IBERIA,IBERIA,05/01/2021 14:17,05/01/2021 14:17,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,09/01/2021,ACCESS FAILURE,PASSWORD RESET,0,EN EL AVIÓN - A340,FLOTA A340 Pilotos (AVVIL0A1)
INC000001472380,IBERIA,IBERIA,05/01/2021 14:18,06/01/2021 11:43,Closed,[PORTAL EMPLEADO],JAVA Apps Support,Application Tower,RRHH,Baja,4-Baja,All the options are accesible now and it is temporary issue,Mantenimiento Corporativa y RRHH,INCIDENT,10/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,1,SIN IDENTIFICAR,
INC000001472383,IBERIA,IBERIA,05/01/2021 14:19,07/01/2021 11:07,Closed,Y - Fallo Software:Acceso al Data Lake en remoto,IAG EUC Remote Support,EUC,EUC,Media,3-Medio,"Resolution : [3:05 PM] Macías González, Emilio José Hi Jaya, good morning. The accenture team has modified my password, and now works properly, so we can close the ticket. ?[3:36 PM] TCS.Prakash S, Jaya Perfect! Thanks for confirming.. Have a good day (smile)",Unidad de Instalaciones y Telecomunicaciones,INCIDENT,11/01/2021,SOFTWARE FAILURE,,2,DESCONOCIDO,MANAGER LOYALTY (ACFM10)
